i,u|you 
cuidado,corre|valla|viene|perdido|hola|mete|cae|maricon|idiota|calla
td,porco|dessus|ole|laat|eto|vo|putta|sdf|david|nx
sio,mae|ara|manu|fds|saco|kurac|tanke|sisi|jugando|panda
juckt,schwul|tag|einmal|digga|leise|dumme|runter|alta|drauf|raus
schau,guck|unten|dir|einer|jetzt|weiter|aus|rum|uns|von
47,64|65|56|86|81|57|69|67|53|36
italian,batman|laggin|drunken|tryharding|spotted|pedo|male|stoned|law|dea
ekipo,vez|hablar|equipo|colega|retrasado|otra|cuenta|mato|estas|gilipollas
reds,shurelias|bluie|sunfire|zeal|asist|randuin|asists|oralce|dragons|lbue
plzzz,plsss|nooooooooob|pl0x|plesae|ofmg|omh|camon|gogogogo|opmg|goooo
bat,couilles|abruti|comprend|drole|tres|vrai|premiere|cette|gamin|compte
gog,mg|nas|adk|meu|reporta|faz|ainda|crl|bacl|fds
allright,wtfff|sryy|yyy|oha|opa|baylife|gk|ntm|headshot|omng
encul,tete|merd|avant|pue|crever|arabe|salope|baise|pete|couille
alistair,tarik|dah|maplh|olag|wowo|aaaa|varys|alista|haa|darus
gun,papa|vagina|soul|dickk|finger|goed|toch|egw|toy|bite
malisimo,malo|uno|del|ese|mejor|joder|inutil|hablas|mete|colega
gjk,brbr|zzzzzzzz|trololololo|ghj|gooooo|opmg|loooooooooooool|geegee|wtffff|omng
living,white|ehre|rolling|enjoying|law|link|breaking|ruhe|jack|gangster
ground,forum|storm|post|rolling|jack|cum|channel|mighty|issue|loading
dommage,muere|fous|parles|tai|truc|sens|pseudo|compte|vrai|tuer
caer,ree|valla|mvp|boi|cae|debil|xo|vo|pardon|vodka
fotze,hure|hund|opfer|siehst|spielst|kommst|spast|kleiner|meinst|schnauze
suprise,headshot|roger|sdf|kl|kss|cal|oha|sisi|lekker|heu
beste,voll|wenigstens|unten|rum|nervt|wirklich|egal|alta|klar|kannste
mund,sowieso|behindert|werd|katha|trotzdem|kanacke|nun|geld|depp|david
kleines,selbst|kleinen|ins|biste|bestimmt|heute|kleiner|pisser|freunde|kleine
awfull,brilliant|mexican|fantastic|funy|disgusting|dum|uncarryable|bitche|hopeless|trolll
bn,tos|espera|atras|valla|wena|jugando|ole|nx|ko|dai
2vs2,5v2|boloss|3vs2|4vs4|woop|gi|pula|4x5|dole|nawet
lolking,igno|cum|goed|desktop|warte|poop|nochmal|denk|youtube|reallife
mastery,page|rune|pene|spec|arp|quints|mc|runen|teemos|ign
effect,sort|curse|elixir|omen|price|water|false|text|stone|chalice
explains,matters|worht|counts|liked|hurts|doubt|roger|assume|calculated|darn
woop,jup|gh|ree|vodka|dole|mul|suka|boloss|eto|testa
wihtout,overrated|nio|wtb|neeed|15s|noi|nedd|ddddddddd|whitout|nr1
rport,reprt|repoort|reporrt|repoirt|repotr|repoert|eport|reort|raport|reoprt
yoiu,tyou|yiou|ypu|youy|yopu|alista|teem|uu|noobbb|uy
ingite,oe|tanke|flas|ign|ag|smit|mp|sm|cooldowns|leg
critical,tru|poso|fdx|bleed|sm|teemos|aie|output|jaki|sem
matches,games|days|minuts|fps
lees,zin|fora|nochmal|ait|falling|jup|ramm|pol|bom|nasor
verpiss,fick|ficken|selbst|diese|nciht|deinem|kleine|erstmal|eigentlich|selber
mt,neger|mig|ste|ej|nem|dom|witz|eller|ju|rt
rox,tai|tuer|moin|vois|prends|amis|baise|veu|mange|crois
grabed,dove|taunted|bursted|protected|hitted|kiled|stuned|kileld|exhausted|1shot
trough,thru|through|15s|bck|burned|inside
beggining,begining|beginning|fountain|lobby|corner|air|jack|begin|future
brolaf,katha|corkie|pedobear|phanteon|twicht|nooooooooo|guise|riots|gran|tee
foucs,focsu|rocks|tks|focu|foc|repoort|focuse|repoirt|repotr|sleeps
apart,prevent|nowhere|germany|turkey|greece|poland|china
remove,pop|upgrade|paid|skip|saves|buys|taked|cancel|interrupt|landed
arow,facepalm|shark|gra|mund|urf|jan|luk|headbutt|bran|ezra
calles,perdido|valla|crees|maricon|estar|sono|vagy|ole|rapido|seguro
muerto,colega|despues|esk|tambien|cuenta|del|xk|vez|otra|poco
loading,dl|dark|rolling|forum|desktop|lolking|window|download|update|ground
reportable,bannable|kewl|alright|senseless|4v6|helpful|necessary|interesting|actualy|posible
bordel,potes|gamin|chui|abruti|vois|pue|mieux|mange|crire|faite
gali,ahahhaa|tee|ramm|omggg|oups|pmg|nooooooooo|woops|fuuuu|haa
purple,leaona|braon|nahs|ym|invi|warde|vison|coe|recal|ini
mmh,yyy|loooooooooool|sryy|ehhh|xaxaxaxa|gk|trololololo|lole|loooooooooooool|loooooooool
thc,gogogogo|nice1|yw|opmg|nooooooooooob|gotcha|omng|jajajajajaja|wops|omgh
annivia,panteon|aniva|alista|renekt|hhaha|corcki|udry|ramm|fizzz|vaine
uselees,thios|reatard|impressive|hater|bitche|thc|yw|jewish|nooooooooooob|gogogogo
nk,content|ra|din|arr|mer|gel|rr|tais|vittu|avoue
laser,headshot|ih|baylife|spoko|kla|sowieso|hahahahahahah|roger|behindert|urf
daddy,mums|sister|fathers|playstyle|boyfriend|mama|arse|dad|mothers|nick
assume,trhow|doi|fitta|wort|tap|appreciate|tai|google|arr|remeber
direction,dark|grass|kitchen|air|spot|numbers
pleae,fffs|plesae|bum|jup|gogoog|pl0x|ahhhh|omh|goooo|gogogog
sicher,passt|sowieso|welche|endlich|selbst|penner|verloren|danach|geld|schwul
ku,kes|sen|ko|ama|8a|pi|nn|esu|adam|fds
caster,88|veel|pene|runen|83|poso|mag|meer|geen|sas
corner,grass|kitchen|future|dark|mood|air|forum|teamchat|house|pain
hasta,antes|vez|mejor|dios|parece|partida|gente|equipo|dices|ahora
sagst,spielst|spast|meinst|hund|kleiner|hure|kommst|warst|siehst|lappen
xdddddddddddddd,opmg|mfg|nice1|npnp|kaiser|omng|nooooooooooob|ofmg|trololololo|hahahaah
jme,chier|faire|donc|jamais|lui|dire|alors|allez|tout|par
jeden,ihn|uns|sowas|dir|mitte|nichts|gleich|eine|oben|alles
fuckng,fcuking|fuckgin|l2play|fuckn|fucken|fuckyou|polak|fuccking|ahahahaha|luker
wood,wooden|vodka|geez|slowpoke|wops|thius|tihs|nicee|bets|omf
pg,gh|yw|moin|batard|jj|suka|idem|ole|ahhhh|looooool
dor,igo|jup|wowo|yees|pmg|goi|ahir|ddddddddd|omgf|loooooooooool
foc,repoort|repoirt|repotr|focsu|focu|tks|reoprt|nj|fous|foucs
annoy,ride|insulted|forgive|scare|punish|judge|blam|haras|trust|folow
potato,polak|amos|komt|david|n4p|cok|aj|ole|freaks|esq
unbrain,faceroll|nobb|cheated|uselesss|baad|usles|badd|prooo|funy|ussles
deserv,deserve|spin|deserved|deserves
losed,previous|ruiner|losse|closed|breaking|exit|4v6|kewl|deze|looose
retreat,oomg|wtfff|surrener|woah|whyy|ogm|lcuky|fuuu|fuuuu|jebane
beats,rapes|owns|counters|pwns|snowballed|loves|kiled|babysits|hates|sleeps
crush,1shot|smash|ambush|zone|deny|punish|lure|pwn|harrass|pown
pizza,nig|cake|uit|gas|anal|pisser|leg|vodka|amk|abysal
bigest,luker|fcuking|greatest|l2play|fedder|runner|fuccking|fuucking|jajajaj|fuckng
xxd,opmg|epik|opa|omgh|nooooooooooob|lcuker|hahahahahahah|noop|idioot|fj
complains,lied|talks|cried|worried|cries|caer|lies
secured,freee|doble|duble|pffffff|fre|tripple|x2|secure|whyyy|eas
firts,firs|fisrt|trolol|ita|afterwards|moj|fs|fuuuu|wops|11min
matchmaking,riots|nerds|system|gaming|madness|randoms|elohell|clown|mentality|tactic
pak,kon|weer|gel|nog|nou|laat|jebo|mij|jij|mange
ohhhh,hater|lagggg|shiiit|bitche|oooo|ziggz|noobbb|kidd|baylife|animals
weed,latency|reflex|chinese|david|boi|oha|tsm|proc|ouh|turk
result,song|meaning|amount|part|legends|effect|legend|victim|league|basics
behindert,kanacke|schwul|sowieso|welche|witz|spasti|dumme|pisser|ehrlich|dabei
inf,shurelias|thorn|merc|banshees|atmas|pinks|infinity|randuin|oracl|void
chalice,elixir|phage|rod|sunfire|banshees|shurelyas|merc|tear|hog|randuins
trashes,retardeds|wanker|jews|spastic|lowbobs|whores|mexican|geek|nubs|nerds
exw,etsi|kanw|kanei|gamo|sas|twra|exeis|tin|pou|8a
fidl,alista|morda|tiwtch|ashee|udry|vaigar|tryda|foking|xi|panteon
nou,nog|niks|ging|gaat|kon|laat|weer|dus|voor|jij
ara,sisi|calla|jugando|valla|gilipollas|contigo|perdido|ellos|maricon|hablar
loads,lots|plenty|insted|isntead|tons|amount|sons|couple|legends|lack
dominating,splitted|immortal|basing|covering|carring|pwning|underfarmed|blinded|dea|prooo
adam,amk|wena|ko|sen|daha|kes|isto|iyi|fds|sm
gaffe,aussi|par|parle|ces|prend|viens|vien|tuer|enfin|connard
xdxd,opmg|opa|loooooooooool|debil|boo|emm|gooooo|looooooooooooool|nice1|hahahahahha
iot,barron|bron|braon|drkae|drk|baorn|abron|nahs|dargon|baro
tre,etre|jte|moins|connard|genre|parler|lui|voir|ais|casse
downs,upp|upo|yp|elixir|dcs|cooldowns|rm|uo
youve,uve|slightly|ive|alrdy
tehn,ddue|gogog|re1|hun|ineed|pl0x|letme|freee|fg|1ss
kacke,besser|voll|nix|eig|naja|dumme|warum|gefeeded|uns|nciht
pusher,sniper|polak|joker|genius|pg|idioot|robot|suicider|handicap|huehuehue
sas,gamo|exeis|kanei|exw|8a|kaneis|etsi|twra|tin|kanw
tue,donne|mange|tuer|perdre|temps|truc|ouais|pere|calme|chez
flas,ign|oe|gana|falsh|flahs|smit|luk|ingite|runer|stan
siad,suks|inb4|pref|norm|sees|facechecked|ahhhh|recalled|dcd|waits
renk,fio|heracim|hari|kenenn|trinda|vladi|alista|panteon|ryse|udry
kanw,twra|exeis|kanei|exw|kaneis|kai|gia|etsi|gamo|exei
kad,ko|samo|li|ala|faz|jebem|kurac|che|asta|mono
anderen,ganze|lassen|eier|zeit|kommen|fresse|juden|schuld|gegner|durch
china,aso|trolololo|fg|swe|neger|urf|vet|jes|fds|behindert
ush,puch|aight|afl|poush|baylife|waw|puish|looooool|muhahaha|woop
woudl,wud|ud|cud|gonne|shud|youll|coulda|sould|wil|honest
nicee,nj|wops|ghj|gotcha|opa|spoko|gh|woah|wtfff|hahahaah
lolilol,jewish|jac|ntm|akf|rus|bnot|esl|bak|surrener|dafaq
votre,toute|allez|mieux|vien|genre|tous|salope|parler|tellement|sous
ideas,arguments|nick|tits|skillz|grammar|partner|reactions|playstyle|mentality|gaming
baro,abron|drkae|drk|drg|drak|allright|nasor|barron|nahs|bron
directly,nw|ust|ish|bacl|bck|goooo|upp|barron|woop|ib
blinded,tks|reproted|repotr|dcd|dea|prooo|repoort|nj|gotcha|premad
1ss,re1|ss3|ahahhah|gooooo|nooooooooooooooo|trololololo|s2|lolwut|gogogogogo|loooooooooool
zzzzz,sssss|nooooooooooooooo|lolwut|trololololo|ahahhah|opmg|seriosuly|laaag|wtffff|lkol
omgggg,opmg|npnp|dafuk|ahahhaa|trolololol|re1|lkol|lalala|tlaon|xddddddddddddd
raba,shurelias|oralce|deathcap|atmas|shurelia|philo|randuin|shurelya|fh|atma
fd,opa|jj|oha|spoko|headshot|wtfff|gh|loooooooooool|aie|yyy
wk,jan|olag|shac|fidel|jac|seju|khartus|ryz|y2|malh
coment,coments|worries|flahs|comunication|mp|offence|surre|chanse|flas|nooooooooobs
cooldowns,uklt|animals|demacia|dcs|latency|smit|proc|ign|skil|sunfire
4vs4,4v3|5v2|opk|jup|brainafk|2ss|goooo|hallo|fg|muhahaha
fucknig,fuuu|fuckgin|ogm|fker|fuckn|bitche|jajajaj|fkign|mimimi|haa
finger,legs|hair|channel|vagina|girlfriend|playstyle|tits|butt|behaviour|stupidity
wot,wut|cake|somthing|yhe|wft|nothign|crl|xo|abysal|clg
svp,drole|vien|pue|bien|casse|allez|ces|gaffe|putin|potes
suicider,lcuker|mongol|geek|turk|bravo|pg|hahahahahahah|boo|idioot|ownage
behave,felt|assholes|spastic|kiddies|act|trashes|pussys|noobies|rats|thius
hun,gaan|tog|ona|dobrze|mij|nou|moj|pak|jij|voor
servers,pros|nazis|germans|tyou|jews|russians|monk|frenchies|turkey|elohell
dddddd,wowo|noraj|gooooo|wops|laaag|trololololo|nice1|lagggg|doh|wtffff
puede,pues|juego|porque|ahora|tanto|otro|parece|sabe|asi|hay
thk,yw|aff|wtffff|gjh|mvp|gh|dawg|laf|tyty|nj
rq,dcd|mda|gh|nj|ehhh|emm|fitta|ole|mimi|suka
manu,sim|kes|mae|ole|mono|bana|jugando|jebany|amos|sisi
53,56|64|65|57|69|47|49|36|38|86
meinen,wenigstens|holen|sowas|dann|jz|mache|bringt|durch|weiter|sonst
deutschland,ausl|deinem|schwanz|kleine|raus|passt|dass|schule|heute|nichts
couple,loads|plenty|sons|amount|legends|lots|insted|doom|isntead|legend
draft,mario|barbie|lego|pokemon|tetris|cod|safer|pacman|rankeds|tutorial
sus,nunca|bem|jugando|mono|faz|perdido|aqui|ala|ainda|mio
bom,bem|isto|faz|agora|ainda|fds|nunca|eee|kes|tenho
tog,lekker|nei|ona|geld|nochmal|hoor|ih|kla|kom|jebany
flameing,falming|trashtalking|bitching|lying|arguing|qqing|flamme|suiciding|flamming|downloading
wowo,lalala|loooooooooool|hahahahaa|haa|okej|noraj|opmg|omng|ddddddddd|aaaa
learned,knw|spammed|known|lovely|ike|breaking|classic|testing|counts|wierd
grav,tarik|akli|olag|gran|tristan|hahahahahahah|ezz|rive|gali|jan
ici,mieux|genre|bordel|compte|crire|leur|gamin|avant|pue|commence
sempre,aprende|uma|tas|comprar|tener|fazer|cagar|anda|tava|iba
nasty,geek|mexican|pity|update|cheap|disgusting|white|wierd|brilliant|classic
pwning,raping|outfarming|laging|owning|recording|confused|ignoring|baiting|eating|dominating
reactions,reflex|luk|headbutt|ideas|fairplay|arguments|gnaks|juke|tactic|reaction
isso,tens|bem|uma|tonto|faz|mesmo|vale|isto|nunca|aqui
testing,enjoying|tryharding|recording|laggin|breaking|learning|batman|italian|norris|law
kasadin,alista|heracim|kenn|udry|kenenn|vladi|ezz|kennne|pmg|jaxx
hardest,easiest|greatest|dumbest|baddest|noobest|faq|jack|badest
neger,nej|eller|vet|mig|fetter|behindert|alda|ett|mer|dej
2sec,3min|5sec|zin|pula|40s|ruhe|3vs3|pit|gaat|wd
ahhah,hahahahahha|jajajajaja|ciao|ahahhaa|doh|nice1|haa|jajajaj|xdddddddddddddddd|loooooooooool
quints,83|pene|88|spec|mastery|flat|56|67|runen|pod
kurz,geh|gehen|gleich|muss|eben|pushen|schnell|sagte|holen|lass
congratz,heu|wtfff|aie|jebane|trolololol|yyy|suka|loooooooooool|ahahahahahaha|wtff
chut,mecs|lai|premier|doit|vieux|tue|tap|pere|sut|dur
casa,jugando|aver|quien|vaya|maricon|calla|acer|ole|primero|amos
lalala,aaaa|noraj|noooooooooob|yees|opmg|wowo|wtfff|loooooooooool|opa|wops
reporrt,rport|repoirt|reprt|reort|repotr|repoort|raport|repoert|rep|ingore
56,64|49|53|69|65|47|67|86|81|41
lz,pzl|gogogog|tarik|woot|fg|pol|jup|heu|fuuuuu|fffs
uncarryable,2gud|patetic|bets|wtffff|lmfao|geez|esl|hater|mimi|pr0
police,duck|nig|jews|lagggg|chinese|niggers|animals|hater|fuckl|urf
cassa,akaly|varys|alista|kenenn|olag|volli|yorrick|udry|varius|caitly
nei,jebany|dobrze|samo|czemu|lekker|tez|suka|dobra|oti|ise
tryharding,laggin|italian|prooo|enjoying|beginner|dea|drunken|batman|clueless|basing
sack,flamen|leise|kanacke|schnauze|wissen|dumme|leck|ruhig|sterben|welche
idiotic,brilliant|retared|disgusting|cocksucker|reatard|trolll|mexican|bitche|hater|geek
eller,mig|och|ju|vill|nej|inte|vet|kommer|suger|ett
realized,realised|noticed|fought|finished|spammed|known|followed
dealt,deals|dealing|tru|output|critical
smoking,writting|recalling|confused|tryharding|dea|basing|laging|laggin|ikr|drunken
rn,danke|ucker|dich|rst|ucking|rs|ska|sich|hilfe|wt
truc,bordel|pue|potes|jeux|perdre|mange|compte|arabe|famille|vois
jeux,vrai|mieu|eux|mieux|potes|bordel|gamin|abruti|couille|dur
surtout,tkt|aussi|vien|eux|jsais|maintenant|moins|viens|tellement|mauvais
selbst,passt|eigentlich|uns|raus|ruhig|ihn|heute|kleine|zum|nciht
smurfs,beginner|eleos|rare|esu|zwo|dcs|gy|turkish|chinese|dole
update,graphics|barrel|balance|desktop|hacks|nasty|kss|storm|present|maj
entre,comeme|deja|vaya|despues|mio|aver|toda|pete|linea|poco
communicating,surrendering|retardness|banning|suicidal|knowing
disable,crank|interupt|dddddddd|nei|woop|rolf|waw|hoor|hha|dus
vue,quel|tais|raison|vu|tellement|ferme|pris|pk|mort|gueule
amunu,tarik|sahco|kenenn|yorrick|kasadin|alista|khartus|pante|siv|skaner
nder,ausl|wenigstens|jude|alta|sprache|heute|selbst|raus|dumme|doof
donw,upp|goooo|omgf|xddddddddddd|sty|nw|fffs|yp|directly|braon
normale,vom|nem|deze|dole|nej|dus|schwanz|haut|anders|gerne
maintenant,mauvais|moins|serieux|surtout|puis|potes|eux|retourne|vient|aussi
hur,nej|vad|och|ste|eller|mig|beh|ju|neger|kommer
ses,baise|potes|vite|eux|mange|mieux|gamin|compte|casse|jeux
mids,playa|riots|premier|entre|tourelle|jla|ses|demacia|premiere|mc
sal,enculer|merd|putain|baise|tellement|envie|pete|ptin|serieux|grosse
zzzzzz,gooooo|lolwut|woooow|trololololo|yesss|nooooooooooooooo|xdx3|loooooooooooool|loooooooool|opmg
ging,nog|toch|bent|laat|heb|nou|dood|weer|maar|jij
firt,nxt|frist|nex|5th|third|fisrt|3rd|evry|fist|firs
motherfuckers,retardeds|nubs|campers|whores|wanker|bitche|trashes|animals|lows|shiiit
twtich,2ss|yey|nooba|xi|facepalm|fg|looooool|gb|vyane|jup
vittu,gel|daha|pt|nx|idi|kes|eimai|adam|bana|ole
avait,aller|reste|crois|veut|etait|quand|francais|sinon|sait|allez
core,stacking
beer,n4p|stone|proc|banana|signal|whiner|present|critic|pew|noooooo
euw,eva|europe|farmer|eu|teamplayer|playa|gamers|palyer|jugnler|2ss
rs,rst|um|alda|sie|sch|rt|tten|flamen|rde|sprache
yees,aaaa|nooooooooo|noraj|trololololo|ddddddddd|aie|gooooo|loooooooooool|lalala|laaag
cud,woudl|coulda|wud|shud|willl|shuld|aware
ahs,fuuuuu|pwns|nicee|ghj|ouch|waw|bets|norm|debil|heu
roamed,recalled|lucked|instalocked|dove|raged|roams|soloed|trollpicked|suicided|snowballed
kommer,mig|eller|ju|och|nej|inte|ikke|med|dom|rt
flee,sdf|smd|toss|dea|sck|disco|olol|lcuky|nei|prooo
share,reboot|interupt|discuss
tihs,thios|loll|woah|noop|yw|nooooooooob|nuub|nicee|fckign|hater
hadn,weren|ain|hasn|havn|wouldn|aren|haven|shouldn|couldn|wasn
kar,lalala|suka|okej|bana|fg|idi|opa|mul|gol|vittu
torll,pardon|trollgame|opa|jebane|suka|waw|admin|boo|2ss|manu
someday,tomorrow|btch
mudda,mutter|vater|nciht|kleine|runter|fick|heul|dumme|namen|doof
looooooooool,mimi|aaaa|nty|trololololo|wtffff|omng|nooooooooooooooo|lolwut|gooooo|haahah
plase,pzl|muhahaha|pl0x|plesae|plizz|pz|gogogog|ashee|idito|gogogogogo
udir,maj|aie|jajajaja|fermer|nooba|arr|gran|chi|mongol|content
truly,fukcing|extremely|soooooo|jezus|fckng|fckign|hater|ahahahahah|wanker|unreal
seg,nivel|mn|cm|od|sek|jahre|assis|veces|3vs|somos
einmal,selbst|passt|lasst|sowieso|raus|beim|gerne|gehts|geld|ihm
becuse,beacause|casue|couse|bcs|beacuse|cauz|bcuz|bec|becasue|doom
expecting,covering|hoping|recalling|changing|basing|eating|checking|watching|writting|confused
gameboy,toaster|gagner|youtube|poo|perdu|dominion|perd|forum|cod|mission
mongol,gran|geek|batard|moin|david|anormal|idioot|suka|ole|vodka
schuld,schnauze|lasst|selbst|juden|sehen|eier|ficken|sollen|kommen|dumme
cleared,expired|clearing|wad|timed|pinked|unwarded|nedd|area|spawned|clean
rm,demacia|muere|sens|hijos|jajajja|david|sim|tarde|arp|amos
envie,avant|baise|ptin|genre|faute|vois|voila|arabe|gamin|anglais
polite,honest|carefull|quiet|silent|careful|rude|friendly|aware|agressiv
thrown,slowly|congrats
system,actual|matchmaking|update|graphics|riots|pedobear|mans|hamster|link|nonsense
pissing,piss|pissed|fak|fukc|cut|backing|fuckk
gel,kes|nx|vo|jos|hora|sn|idi|fare|tai|vittu
rampage,sniper|pg|fous|cheats|loo|crank|scor|erm|backdooring|tks
tienen,macho|tambien|ellos|nosotros|hay|otra|esk|pone|abajo|vez
gagner,perd|veut|perdre|reste|nous|jeux|tous|perdu|sait|crois
hating,falming|trashtalking|cryin|lying|dreaming|downloading|arguing|facechecking|qqing|troling
luk,jan|katha|reflex|gran|jojo|oe|playa|facepalm|mund|relaly
output,dealing|tru|dealt|critical|bonus|teemos|pene|reduce|massive|major
bto,tpo|botr|mif|miod|boty|malh|otp|boit|bpt|mdi
fairplay,reflex|kss|hacks|okai|probleme|urf|killsteal|luk|rm|0o
ganamos,hablas|otro|parece|pega|antes|gente|otra|peor|podemos|luego
compte,mange|jeu|perdre|calme|famille|genre|gamin|bordel|chui|vite
golden,anal|nicee|sowieso|dabei|ehrlich|knapp|hihi|behindert|vodka|uk
caytlin,fio|alista|hari|trsit|cayt|heim|ryz|vaine|vanye|fidd
ryse,y2|fio|firoa|hari|fidlle|renk|vaine|ezz|nasusu|caitlin
idioot,jajajajaja|polak|mongol|reatard|opa|ciao|fff|omng|boo|noop
fkc,aie|wtfff|congratz|laf|suka|jajajajaja|noraj|haa|oha|mda
zao,zhao|tks|nooooooob|scumbag|nooooooooooob|sleeps|repoert|nooooooooob|cheated|wb
4x5,opk|jup|2vs3|testa|woo|4v6|fffs|glhf|mkay|okai
d3,sim|ole|samo|comprend|finis|lekker|yt|sens|jla|kes
hexdrinker,mercs|attackspeed|abysal|oralce|recal|merc|inf|orcale|pinks|lichbane
jaa,stimmt|kanacke|werd|schwul|sowieso|gerne|behindert|geld|ehrlich|trotzdem
pal,falta|perdido|eto|kita|vo|kurac|toda|estar|mono|valla
bombs,finger|anus|house|legs|channel|feet|arrows|storm|pet|laptop
noobo,kidd|anormal|lagggg|ehhh|jajajajaja|bitche|polak|ogm|ragekid|lcuker
nps,ntm|enserio|xddddddddddddddd|surrener|looooooooooool|sstop|surrnder|tyty|lolwut|stoop
sees,loves|pwns|spams|suks|rages|hates|beats|trollpicked|speaks|afked
pene,pen|penetration|res|88|stacking|83|arp|mercury|resi|geen
sat,chilling|awrd|warde|gio|dddddddd|gop|bow|2ss|goi|laf
15s,20sec|20s|40s|30s|30sec|10s|10sec|2s|nio|fuuuuu
ataca,corre|valla|ole|sino|mete|wena|sisi|ostias|heu|jugando
sait,crois|veut|sinon|vient|etait|reste|vois|avait|dit|peu
flamen,dumme|ruhig|leise|selbst|schreiben|leck|ehrlich|wissen|welche|reden
highest,lowest|above|37|easiest|99|64|boost
51,64|56|67|57|86|41|44|52|98|47
pendant,mauvais|serieux|voir|francais|fais|baise|tuer|pk|parle|jte
linea,ostia|partida|boca|equipo|comeme|hijos|despues|hablar|poco|gente
chez,baise|francais|avant|petit|mange|fran|suce|ouai|eux|casse
ore,comign|cming|gogogogogo|cae|1ss|heading|s2|gankable|gogog|wardet
assis,asists|jahre|hj|assits|kd|andere|seg|schuhe|niveau|werd
gunna,gna|gona|gonan|surprised|honest|hungry
lokk,lok|loook|30min|7min|lold|bay
uit,toch|laat|nou|niks|ging|nog|bent|voor|mij|weer
hawk,lagggg|looooooooooool|laaag|surrener|sryy|gb|surrnder|wops|ezra|yess
agro,nw|ona|jeje|2x1|gewoon|gogogog|lz|fuuuuu|ib|eto
newbies,retardeds|n00bs|nooooobs|noooooobs|motherfuckers|newbs|shiiit|glhf|noobz|wanker
